Type,Start Time,Stop Time,Duration,Transcript,Speakers,Dominant_Speaker,Predicted_Label
speech,0.03,20.32,20.29,KBS 플러스 KBS만이 제공 가능한 무료 서비스 스마트폰에서 즐겨보세요 40개의 실시간 채널 5만 개의 다시 보기 KBS의 과거 현재 프로그램을 소환해서 볼 수 있습니다 지금 당장 구글 플레이 애플 스토어에서 KBS 플러스를 다운받으세요,SPEAKER_13:1.00s(1.000),SPEAKER_13,AD
speech,38.96,43.09,4.130000000000003,이은지의 가요광장 안녕하세요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,43.45,45.55,2.0999999999999943,DJ 이은지입니다.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,56.83,73.32,16.489999999999995,어제보다 춥습니다 라는 말을 어제 아침에도 들었거든요 근데 오늘도 그러더라구요 어제보다 춥습니다 기온은 어제보다 떨어졌고 바람은 어제보다 심해졌고 마음은 어제보다 어떠셔요?,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,73.88,80.43,6.550000000000011,아무래도 오늘이 새해 첫 출근인 분들도 많으실 텐데 여러분 상황이 어때요?,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,99.34,106.5,7.159999999999997,난 난 난 난 난 꼬마의 돌 밤이 되면 내 맘속에 주님 문이 열리죠 누군가피,SPEAKER_06:1.00s(1.000),SPEAKER_06,GUEST
speech,155.52,174.74,19.22,지금이 딱 널 위한 show time Make it your same day 울리면 왜 찾아와 줄래 지금 맞출래,SPEAKER_06:1.00s(1.000),SPEAKER_06,GUEST
speech,275.16,277.87,2.7099999999999795,이은지의 가요광장 오늘 첫 곡은요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,278.19,281.05,2.8600000000000136,트와이스 낙낙이었습니다.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,281.81,284.29,2.480000000000018,청취자분들 낙낙 괜찮아요?,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,284.94,285.86,0.920000000000016,많이 추운데요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,286.4,287.64,1.240000000000009,텐디 여의도에 있는데요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,287.78,289.56,1.7800000000000296,정말 추워서 깜짝 놀랄 지경.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,290.04,299.94,9.899999999999975,텐디 얼죽아인데도 불구하고 오늘은 그냥 커피를 마시지 말까 할 정도로 너무 추웠어요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,299.92,306.31,6.389999999999986,오늘 진짜 추운데 우리 취자들은 어디서 무엇을 하며 어떻게 지내는지 텐데 너무너무 궁금해요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,306.41,308.37,1.9599999999999795,낙낙 취자들 낙낙.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,308.89,310.7,1.8100000000000025,근데 많은 청취자분들 들어와 주셨네.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,310.8,320.57,9.769999999999982,전민기님 김은영님 최흥숙님 1191님 1739님 등등등 청취자분들 들어오고 계십니다.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,320.65,321.76,1.1100000000000136,9895님.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,321.74,351.74,30.0,강원도 속초에서 20살 되는 딸아이와 일출 보고 집으로 가는 중 어제보다 춥다라는 말 너무 공감되네요 텐디 감기 조심하셔요 하하 그러니까 말이에요 근데 텐디 2025년도에 감기 한 번도 안 걸린 것 같은데요 몇 번의 열과 몇 번의 체는 있었지만 급체는 있었지만 감기는 한 번도 안 걸렸네요 이게 어쨌든 생방송으로 매일 무언가를 해야 된다라는 그런 마음가짐이,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,351.72,361.7,9.97999999999996,그럴 수도 있겠다 강나경님 연초 플러스 월초 엄청 바빠요 퇴근하고 싶어요,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,362.93,365.45,2.519999999999982,정말 초초초 너무 바빠.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,365.59,366.59,1.0,연초 바빠.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,366.99,369.84,2.849999999999966,연초는 연초로 바쁘고 월초는 월초로 바쁘지.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,370.24,374.38,4.139999999999986,연말은 연말이라 바쁘고 월말은 월말이라 바빠요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,374.48,375.86,1.3799999999999957,바빠다 바빠 현대사회.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,375.92,377.35,1.4300000000000068,녹록치 않은 사회생활.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,377.4,378.73,1.330000000000041,어쩔 거냐 사춘기.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,378.91,380.27,1.3599999999999568,지나간다 갱년기.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,380.59,384.41,3.82000000000005,우리 모두 행복기원 긍정기원 청취자들.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,384.39,388.14,3.75,텐디가 이렇게 네 글자로 취자들의 행복을 한번 빌어봤고요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,388.58,391.0,2.420000000000016,나경님 퇴근하고 싶지요?,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,391.02,393.79,2.7700000000000387,근데 그러기엔 너무 지금 12시 6분밖에 안 됐어요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,395.61,403.36,7.75,퇴근을 늘 마음속에 우리가 갖고 있지만 12시 6분밖에 되지 않아 잠시 퇴근하고 싶은 마음은 접어두시고.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,403.9,406.92,3.0200000000000387,김 라니님 라니.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,406.9,410.55,3.650000000000034,병훈현 첫 출근인데 내일이 또 주말이라 설렙니다.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,410.91,416.26,5.349999999999966,게다가 지금 대표님도 외출하셔서 사실상 프리입니다.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,416.28,417.93,1.650000000000034,아우 센나.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,418.75,424.76,6.009999999999991,라니님 그러면 트와이스의 또 알코올 프리 같은 노래 한번 들어주시면서 음,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,424.74,426.81,2.069999999999993,기분 너무 좋다 해주셔도 좋고요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,427.45,438.22,10.77000000000004,UV의 이태원 프리덤 같은 노래를 또 들어주시면서 신나게 둠칫둠칫 대표님 없을 때 그 여유를 좀 즐기시는 것도 좋을 것 같은데요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,438.78,439.76,0.9800000000000182,김진님,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,440.94,441.98,1.0400000000000205,저 어째요?,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,442.26,443.34,1.079999999999984,살아남을 수 있을까요?,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,444.0,449.09,5.089999999999975,오늘 캠핑장 가는데 영하 10도라니.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,449.25,453.71,4.45999999999998,이게 근데 또 너무 추우면 텐트 설치하는 것도 힘들고요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,453.86,457.38,3.519999999999982,텐트를 철거하는 것도 너무너무 힘든데.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,458.82,459.88,1.0600000000000025,만반의 준비하셨나요?,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,460.02,467.59,7.569999999999993,"화목난로부터 난로 위에 올려놓을 무동력 팬, 핫팩, 침낭 등등등등.",SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,467.57,469.09,1.5199999999999818,잔뜩 준비를 하신 거예요?,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,469.7,483.45,13.75,잔뜩 준비했다면 그래도 요즘 뭐 겨울에 장박하시는 분들도 많으니까 괜찮을 것 같긴 한데 조금 준비가 여유치 않다면 아 그냥 집에 가셔서 오늘은 푹 쉬는 걸 텐디가 추천 추천하도록 합니다,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,483.77,487.36,3.590000000000032,취지아들 괜찮아요?,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,487.92,502.61,14.689999999999998,아 미치겠네 우리 취지아들 걱정돼가지고 아 잘 다녀야 될 텐데 그리고 또 텐디랑 어제도 이렇게 다니다가 보니까 또 접촉사고 나신 분들 봤어요 근데 이게 우리가 사고가 나고 싶어서 나는 게 아니잖아요 근데 괜히 알죠,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,502.58,512.12,9.54000000000002,1월 1일부터 1월 2일부터 1월 3일부터 괜히 나한테 안 좋은 일 오면 괜히 막 더 끼림칙하고 기분 그렇잖아요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,512.64,515.58,2.9400000000000546,근데 취자들 그런 거 절대 생각하지 말아요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,516.02,524.37,8.350000000000023,그냥 1월 1일은 1월 2일은 그냥 늘 그렇듯 똑같이 돌아오는 날일 뿐이다 라고 긍정적으로 마음 먹으셔야 돼요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,524.35,525.75,1.3999999999999773,문자 보내주실래요?,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,525.98,551.02,25.039999999999964,"문자 번호 샵8910 짧은 문자 50원 긴 문자와 사진 문자 100원 어플 콩과 kbs 플러스는 무료 3,4부에는요 광장코인 노래방 광코노 가수 이소정씨 후이시 함께 하도록 할게요 이번 주 주제 2026년 나의 새해 첫 곡 어떤 가수의 어떤 노래의 어떤 가사의 소절을 들으셨는지 사연과 함께 보내주세요",SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,551.25,557.52,6.269999999999982,이번 주 광고 소개 제작진 선정 2025년 베스트 오브 베스트로 함께 하는데요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,558.72,562.13,3.409999999999968,텐디가 부캐 특집으로 광고 소개를 한 적이 있었어요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,562.15,565.21,3.060000000000059,랄랄씨의 부캐 이명화의 진짜 베기도 있었고요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,565.69,569.24,3.5499999999999545,코미디언 정경민씨 김미류씨의 부캐 방울자매 노래도 했었고요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,569.77,575.58,5.810000000000059,부캐 특집 때 어떤 노래에 맞춰서 광고 소개했는지 확인해 봅니다.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,575.82,577.64,1.8199999999999363,감독님 음악 주세요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,578.49,578.53,0.0399999999999636,텐디,UNKNOWN:1.00s(1.000),,AD
speech,579.52,598.67,19.149999999999977,가려요 하지만 12시 되면 좀 달라요 바블로프의 개처럼요 텐션 끌어올려 이름 카페요 가요 광장에서 맘껏 놀아요,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,598.65,627.95,29.300000000000068,이은지의 가을광장일 리뷰는요 경기주택도시공사 바이노텍 미래스증권 고르기프트 세니어브랜드 금비 베스트슬립 넥스얀 경기주택도시공사 제공입니다 샤라웃 투 문세윤 창업을 준비하는 청년들의 든든한 발판이 되어주는 곳이 있습니다 GH 경기주택도시공사는 청년 창업가들이 도전에 이어갈 수 있도록 안정적인 기반을 함께 만들어가고 있습니다,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,628.3,634.89,6.590000000000032,누군가의 가능성에 무한동력이 되어주는 일. GH가 함께합니다.,SPEAKER_19:1.00s(1.000),SPEAKER_19,AD
speech,635.51,637.22,1.7100000000000364,"영자야, 너 피부 클리닉 다녀왔어?",SPEAKER_09:1.00s(1.000),SPEAKER_09,GUEST
speech,637.24,638.84,1.6000000000000227,"아니, 화장품만 바꿨어.",SPEAKER_09:1.00s(1.000),SPEAKER_09,GUEST
speech,639.38,641.38,2.0,무슨 화장품인데 이렇게 달라져?,SPEAKER_09:1.00s(1.000),SPEAKER_09,GUEST
speech,641.4,646.17,4.769999999999982,"리퍼브, 개인 맞춤형 화장품이라 써보면 확실히 달라.",SPEAKER_09:1.00s(1.000),SPEAKER_09,GUEST
speech,646.19,646.73,0.5399999999999636,리퍼브?,SPEAKER_21:1.00s(1.000),SPEAKER_21,AD
speech,646.75,648.65,1.8999999999999773,"변화, 그 이상의 놀라움.",SPEAKER_21:1.00s(1.000),SPEAKER_21,AD
speech,648.67,651.5,2.830000000000041,2025 APEC 공식 후원 화장품 리퍼브.,SPEAKER_02:1.00s(1.000),SPEAKER_02,AD
speech,652.02,654.04,2.019999999999982,전국 클라운지를 검색해보세요.,SPEAKER_02:1.00s(1.000),SPEAKER_02,AD
speech,656.03,665.55,9.519999999999982,스텝 2,SPEAKER_06:1.00s(1.000),SPEAKER_06,GUEST
speech,671.72,674.23,2.509999999999991,이은지의 가을광장 함께하고 계시고요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,674.37,676.25,1.8799999999999957,저는 텐디 이은지입니다.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,677.11,679.89,2.7799999999999727,취자들 괜찮아요?,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,679.91,681.93,2.019999999999982,나 너무 추워서 취자들 걱정이네 정말.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,682.22,687.98,5.759999999999991,취자들 너무너무 춥고 우리 오픈 스튜디오에 계신 분들도 추울 것 같은데 안에 들어가 계시지.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,688.08,688.98,0.8999999999999773,마이크 살짝 열어볼게요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,691.21,691.42,0.2099999999999227,안녕하세요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,691.52,693.51,1.990000000000009,목소리가 지금 생방송으로 송출됩니다.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,693.59,696.07,2.480000000000018,크게 해주십시오.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,696.09,696.29,0.1999999999999318,안녕하세요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,696.37,697.69,1.32000000000005,어디서 오셨어요?,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,697.71,697.83,0.1200000000000045,안녕하세요.,UNKNOWN:1.00s(1.000),,AD
speech,699.68,701.75,2.07000000000005,양산이요.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
speech,701.91,703.91,2.0,양산 너무 반갑다.,SPEAKER_10:1.00s(1.000),SPEAKER_10,DJ
