block_type,start,end,duration,segments,speaker_count,speakers,text
AD,0.03,8.88,8.85,1,1,SPEAKER_06,당신을 지킵니다 당신을 지키는 EHL 바이오가 6시를 알려드립니다
DJ,42.08,167.59,125.51,15,1,SPEAKER_30,"새해 첫날이어서 그런가 오늘은 자주 마음에게 부탁하게 됩니다. 10분만 기다려줘. 미안한데 잠깐만 문 밖에서 좀 차분히 기다려주면 안 될까? 오늘은 아무 마음이나 쉽게 문 안으로 들이지 않으려 애썼습니다. 초조하고 산만한 마음에게 단호히 지금은 내 안으로 들어오지 말아달라고 제지하거나 타일렀습니다. 아예 입장 거절이 아니어서 그런지 마음은 순순히 그 부탁을 잘 들어줍니다. 부글부글 거품처럼 끓어오르던 온갖 잡념들도 10분의 휴식을 가지면 알아서 평정과 평온을 되찾습니다. 오늘은 좋은 마음만 쉽게 입장시키고 나머지에겐 순화의 시간을 주어서 지연 입장시키는 전략을 구사합니다. 새해 첫날을 위해 좋은 말 하나를 찾았습니다. 시작하기 위해 대단할 필요는 없다. 대단해지기 위해 시작해야 한다. 첫 시작이 느낌 좋은 2026년입니다. 청취자 여러분 새해 복 많이 받으시고요. 건강하시고요. 배철수의 음악 캠프는 오늘부터 4일 동안 특집 방송입니다 2025년 팝뮤직 총결산 첫날 오늘은 싱글차트 결산입니다 2025년에 가장 인기 있었던 곡을 소개해드리는 거예요 25위부터 출발하도록 하겠습니다 25위 헌트릭스, 이재, 오드리 누나, 레이아미의 골든입니다"
AD,171.62,177.76,6.14,1,0,,시청해주셔서 감사합니다.
MUSIC,215.31,222.07,6.76,1,1,SPEAKER_25,I'm done hiding now I'm shining like I'm gonna be
AD,347.1,353.5,6.4,1,0,,시청해주셔서 감사합니다.
DJ,359.21,385.83,26.62,8,1,SPEAKER_30,"헌트릭스, 이재, 오드리 누나, 레이아미의 골든. 케이팝 디모넌터스 열풍이 대단했죠. 골든이 25위. 2025년 팝뮤직 총결상 오늘 싱글 차트 결산입니다. 이어 랜드 차트 핫 100 송스. 25위가 골든이었고요. 24위는 드레이크의 노키아입니다. 광고 뒤에 듣겠습니다."
AD,386.82,703.6,316.78,26,9,"SPEAKER_03,SPEAKER_06,SPEAKER_12,SPEAKER_13,SPEAKER_24,SPEAKER_25,SPEAKER_26,SPEAKER_32,SPEAKER_34","참나무 장작화덕에 코끼리 베이글 코끝에 깊은 불향이 코끼리 베이글 바다삭 쫄깃한 코끼리 베이글 케일 베이글의 시작은 코끼리 베이글 눈코입이 즐겁다 코끼리 베이글 언니 본 너 껌쩍 입었구나 안착 편하니까 안착 팬티 엉덩이에 착 안착 팬티 안 껴 안 끼니까 안착 팬티 엉덩이에 착 착착 착착착 엉덩이에 착 나의 성공시대 시작됐다 서울사이버대학을 다니고 반려동물산업학과, 스포츠지도학과, 응용수학통계학과 등 사이버대 최대 49개 학과 전공해서 지금 신입생, 편입생을 보집 중입니다. 서울사이버대학교 지밴 지밴 지밴 지밴 너무너무 편해 스타일도 멋져 일할 때는 역시 지밴인걸 지디 지디 밴 밴 밴 입어보면 알아 디테일도 좋아 작업복은 역시 지밴인걸 대한민국 대표 워크웨어 지벤. 일하는 지금은 지벤 시대. 세계 10대 슈퍼푸드 브로콜리. 겨울엔 브로콜리 카레 어떠세요? 겨울의 카레 브로콜리 카레. 계절마다 카레를 다르게 계절마다 카레를 맛있게 카레로 계절을 맛보세요 일요일은 오뚜기 카레 오뚜기 아팠던 분들에게 보험 가입의 기준 너무 높죠? 하지만 간편건강보험이라면 어떨까요? 고혈압, 당뇨, 디스크가 있어도 몇 가지 질문만으로 간편하게 가입 가능 유병자 걱정 덜어주는 현대해상 간편건강보험 심사기준에 따라 가입이 제한될 수 있으니 유의사항을 확인하세요 맑은 물이 흐르고 온도 변화가 크지 않은 까다로운 곳에서 자라는 와사비. 주비푸드는 그런 와사비의 뿌리 부분만을 엄선해 사용합니다. 소비자들을 존중하기에 좋은 원료, 정직한 표기를 약속합니다. 아름다운 식탁 창조 주비푸드 미미미르 에셋 미미르 에셋 투자하는 미미르 안녕하세요. 노란우산 홍보대사 탁재훈입니다. 세금 걱정에 노후 걱정까지 요즘 사장님들 참 걱정이 많으시죠. 이제 노란우산이 사장님 걱정을 탁 덜어드릴게요. 매년 최대 600만원 소득공제에 부금 내 대출 지원은 물론 복리이자로 퇴직금 역할까지 대한민국 사장님 곁엔 언제나 노란우산이 함께합니다. 사장님의 걱정을 탁 덜어드리는 든든한 희망자산 노란우산. 노란우산 쓰세요. 노란우산 쓰세요. 스테이씨, 메키, 키샹, 애슐리, 담임, 파티"
MUSIC,721.01,779.74,58.73,3,1,SPEAKER_13,"Baby girl, let me see you do your dance, let me see you twirl Shake your a** in the club with your homegirls Take a pic for the ground, show the whole world Is that your best theme? I'ma ice ball for y'all like Kresge I'ma act you, like bless me Hit the dance floor, get nasty, impress me Baby girl, let me see you do your dance, let me see you twirl Shake your a** in the club with your homegirls I don't mean to call you no Just heard about the things that you do my love And you're just like me if it's true my love You can see right through my love I see your waist trump my love You got some bass and a trump my love How many a** in this club Is it really just me my love"
DJ,831.61,879.48,47.87,7,1,SPEAKER_30,24위 드레이크의 노키아 들었습니다. 싱글 차트 23위는 샤브지의 굿 뉴스입니다. 22위가 지금도 차트에 있죠. 리온 토마스의 마트. 두 곡을 계속 듣겠습니다. 먼저 23위 샤브지의 굿 뉴스.
AD,879.5,879.58,0.08,1,0,,굿 뉴스
MUSIC,881.87,950.45,68.58,2,1,SPEAKER_11,Now what a hell of a year it's been Keep on bluffing but I just can't win Drop my songs but they learn to swim Now what a hell of a year it's been Head in a bottle for my heart in a case Yeah it's getting harder to act my age I need some good news Send me sipping on cold truth Nobody knows what I'm going through But the devil won't walk in my shoes When someone told me Living this life would be lonely Trying to get away from the old me Still stuck singing these blues All I really need is a little good news
AD,971.9,998.8,26.9,1,1,SPEAKER_11,매주 일요일 업로드됩니다.
MUSIC,1027.41,1091.88,64.47,2,2,"SPEAKER_11,SPEAKER_20",I need some good news It's in here sippin' on cold truth Nobody knows what I'm going through Bet the devil wouldn't walk in my shoes Wish someone told me Livin' this life would be lonely Tryna get away from the old me Still start singin' these blues All I really need is a little good news she said take your time
DJ,1229.38,1259.31,29.93,1,1,SPEAKER_30,"23위를 차지한 샤브지의 굿 뉴스 22위 리온 토마스의 멋 이렇게 두 곡 들었습니다 2025년 팝뮤직 총결산 오늘 싱글차트 결산입니다 21위는 시저 with 켄드릭 라마 30, 4, 30 20위가 켄드릭 라마의 스커브랍 두 곡 듣겠습니다 먼저 21위 시저 with 켄드릭 라마"
MUSIC,1260.17,1318.93,58.76,6,2,"SPEAKER_18,SPEAKER_25","I used to think about immature things. You know, like, do you love me? Do you want me? Are you going to call me like you said you would? Is this really your real phone number? Some of y'all go get washed Some of y'all just go pop Some of y'all just go talk But none of y'all ain't really got Some of y'all just look lost I give this type of feel you ain't accustomed to I swear I'll be at peace if it weren't for you Only want your love if it's sally But if it f*** me then f*** you And that's the way I like it"
AD,1344.78,1472.04,127.26,3,3,"SPEAKER_16,SPEAKER_17,SPEAKER_21",내 잔에 내 잔 매주 일요일 업로드됩니다. 자막 제공 배달의민족
MUSIC,1539.05,1557.63,18.58,1,1,SPEAKER_16,god knows i am reincarnated i was stargazing life goes on i need all my babies woke up looking for the broccoli high key keep a horn on me deck of my seat ip ownership the blueprint is by me mr get off i get off at my feet
AD,1567.3,1669.28,101.98,3,1,SPEAKER_16,자막 제공 배달의민족 매주 일요일 업로드됩니다. 자막 제공 배달의민족
DJ,1669.78,1699.41,29.63,1,1,SPEAKER_30,켄드릭 라마 스카브롭 20위 곡이었고요 앞에 들으신 음악은 21위 시저 with 켄드릭 라마의 34 30 자 2025년 팝뮤직 총결산 오늘 싱글 차트 19위 사브리나 카펜트 테이스트입니다 시간이 다 됐는데요 광고 뒤에 다시 처음부터 듣겠습니다
