Type,Start Time,Stop Time,Duration,Transcript,Speakers,Dominant_Speaker,Predicted_Label
speech,0.03,9.33,9.3,당신을 지킵니다 당신을 지키는 EHL 바이오가 6시를 알려드립니다,SPEAKER_08:1.00s(1.000),SPEAKER_08,AD
speech,42.59,47.92,5.329999999999998,"인간의 오감은 시각, 청각, 후각, 미각, 촉각.",SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,47.94,57.13,9.190000000000005,거기에 분석적인 사고를 하지 않고도 직관으로 사태의 진상을 잘 파악하는 육감이 더해집니다.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,57.15,61.64,4.490000000000002,지금은 그 여섯 가지 감각만으로는 못 사는 세상이에요.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,61.7,64.52,2.819999999999993,초연결지능인 제7의 감각이 있어야 해요.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,65.6,67.25,1.6500000000000057,네트워크 시대니까요.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,67.27,71.01,3.740000000000009,지금은 연결되어 있지 않은 건 죽은 거나 마찬가지예요.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,77.37,82.72,5.349999999999994,왜 너는 네 일상을 그 세상 사람들과 공유하려고 해?,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,82.74,86.69,3.950000000000003,왜 너는 너의 DNA와 신상 정보를 건네주려는 거야?,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,88.05,88.17,0.1200000000000045,뭐라고?,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,89.09,92.02,2.9299999999999926,청각매체인 라디오를 보고 있다고?,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,93.53,103.53,10.0,연결되어 있으면 더 유용해지는 세상에서 제7의 감각은 어떤 사물이 연결에 의해 바뀌는 방식을 알아채는 능력입니다.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,104.33,109.28,4.950000000000003,오늘날 연결을 놓치면 기회를 놓치는 일이 다반사입니다.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,124.33,135.63,11.299999999999995,제7의 감각 초연결지능에서는 인간사의 진보가 기회를 통해 온다는 사실을 새삼 일깨웁니다.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,135.65,148.25,12.599999999999994,2026년 올해 우리는 어떤 기회가 올지는 예측할 수 없지만 제7의 감각을 한껏 키워서 그 기회를 잘 발견하려 합니다.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,149.91,151.54,1.6299999999999957,1월 3일 토요일입니다.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,152.36,160.31,7.949999999999989,배철수의 음악 캠프에서는 계속해서 특집 방송 2025년 팝뮤직 총결산.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,160.39,162.41,2.0200000000000102,오늘은 락 차트입니다.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,162.43,167.04,4.609999999999985,먼저 핫 락 송스 차트입니다.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
speech,168.28,175.89,7.609999999999985,락 차트는 핫 락 송스 차트하고 락 앤 얼터너티브 송스 차트로 나누어집니다.,SPEAKER_23:1.00s(1.000),SPEAKER_23,DJ
