Start Time,Stop Time,Duration,Type,MP3 File,Transcript File,Transcript,Speakers,Dominant_Speaker,Predicted_Label
0.031,8.926,8.895,speech,,,[SPEAKER_17] 우리 동네 오늘도 안심 대한민국 내일도 안심 이 캠페인은 환경부와 환경책임보험사업단이 함께합니다.,SPEAKER_21:7.79s(1.000),SPEAKER_21,AD
8.926,13.462,4.536,silence,,,,,,SILENCE
13.462,30.375,16.913,speech,,,[SPEAKER_01] 고객들의 마음을 사로잡기 위해 엔터테인먼트,SPEAKER_51:15.50s(0.972);SPEAKER_23:0.45s(0.028),SPEAKER_51,AD
30.375,50.857,20.482,silence,,,,,,SILENCE
50.857,74.078,23.221,speech,,,[SPEAKER_16] 박하선의 시내타운 영화 페이클러브에서 시니컬하던 비와 뱀 사랑에 빠진 두 사람은 평소라면 절대 안 할 행동을 하죠.,SPEAKER_14:11.35s(1.000),SPEAKER_14,DJ
74.078,74.099,0.021,silence,,,,,,SILENCE
74.099,78.283,4.184,speech,,,[SPEAKER_16] 바로 뱀머리에서 타이타닉 자세를 하면서요.,SPEAKER_14:3.28s(1.000),SPEAKER_14,DJ
78.283,78.516,0.233,silence,,,,,,SILENCE
78.516,79.808,1.292,speech,,,[SPEAKER_16] 잭!,SPEAKER_14:0.77s(1.000),SPEAKER_14,DJ
79.808,79.828,0.02,silence,,,,,,SILENCE
79.828,82.671,2.843,speech,,,[SPEAKER_16] 내가 하늘을 열고 있어요!,SPEAKER_14:1.54s(1.000),SPEAKER_14,DJ
82.671,88.826,6.155,silence,,,,,,SILENCE
88.826,91.79,2.964,speech,,,[SPEAKER_16] 연애의 증거는 유치함일지도 모릅니다.,SPEAKER_14:2.91s(1.000),SPEAKER_14,DJ
91.79,91.811,0.021,silence,,,,,,SILENCE
91.811,94.353,2.542,speech,,,[SPEAKER_16] 영화에서 비가 말하죠.,SPEAKER_14:2.04s(1.000),SPEAKER_14,DJ
94.353,94.373,0.02,silence,,,,,,SILENCE
94.373,97.277,2.904,speech,,,[SPEAKER_16] 우리가 왜 이렇게 닭살 행동을 하는지 알아?,SPEAKER_14:2.41s(1.000),SPEAKER_14,DJ
97.277,97.296,0.019,silence,,,,,,SILENCE
97.296,102.043,4.747,speech,,,[SPEAKER_16] 왜냐하면 지금 우리는 뭘 해도 유치한 줄 모르기 때문이야.,SPEAKER_14:3.80s(1.000),SPEAKER_14,DJ
102.043,102.063,0.02,silence,,,,,,SILENCE
102.063,108.65,6.587,speech,,,[SPEAKER_16] 이래서 커플들이 2024년까지도 한결같이 나잡아봐라를 하나 봅니다.,SPEAKER_14:6.59s(1.000),SPEAKER_14,DJ
108.65,108.671,0.021,silence,,,,,,SILENCE
108.671,110.293,1.622,speech,,,[SPEAKER_16] 진짜요?,SPEAKER_14:0.54s(1.000),SPEAKER_14,DJ
110.293,110.313,0.02,silence,,,,,,SILENCE
110.313,115.018,4.705,speech,,,[SPEAKER_16] 여러분은 지금 유치한 어른인가요?,SPEAKER_14:3.58s(1.000),SPEAKER_14,DJ
115.018,115.039,0.021,silence,,,,,,SILENCE
115.039,115.118,0.079,speech,,,[SPEAKER_16] 저는요?,SPEAKER_14:0.08s(1.000),SPEAKER_14,DJ
115.118,115.379,0.261,silence,,,,,,SILENCE
115.379,115.459,0.08,speech,,,[SPEAKER_16] 여러분?,SPEAKER_14:0.04s(1.000),SPEAKER_14,DJ
115.459,116.721,1.262,silence,,,,,,SILENCE
116.721,123.795,7.074,speech,,,[SPEAKER_16] 나 잡아봐라 안녕하세요 박하산의 시내타운 박하산입니다,SPEAKER_14:4.65s(1.000),SPEAKER_14,DJ
123.795,371.298,247.503,music,,,,,,MUSIC
371.298,373.843,2.545,speech,,,[SPEAKER_16] 11월 20일 수요일입니다.,SPEAKER_14:2.55s(1.000),SPEAKER_14,DJ
373.843,373.862,0.019,silence,,,,,,SILENCE
373.862,380.975,7.113,speech,,,[SPEAKER_16] 박하선의 시내타운 첫 곡은 영화 페이크러브에서 마타샤 배딩필드의 언니를 듣고 왔습니다.,SPEAKER_14:6.03s(1.000),SPEAKER_14,DJ
380.975,380.995,0.02,silence,,,,,,SILENCE
380.995,382.338,1.343,speech,,,[SPEAKER_16] 지난해 개봉한 영화입니다.,SPEAKER_14:1.34s(1.000),SPEAKER_14,DJ
382.338,382.499,0.161,silence,,,,,,SILENCE
382.499,391.656,9.157,speech,,,[SPEAKER_16] 영화 피터래비 시리즈를 만든 윌 글럭 감독의 작품이고 글램 파월 시드니 스위스가 출연을 했어요.,SPEAKER_14:8.19s(1.000),SPEAKER_14,DJ
391.656,391.675,0.019,silence,,,,,,SILENCE
391.675,392.216,0.541,speech,,,[SPEAKER_17] 이름이 시드니 스위스네요.,SPEAKER_14:0.54s(1.000),SPEAKER_14,DJ
392.216,392.416,0.2,silence,,,,,,SILENCE
392.416,393.879,1.463,speech,,,[SPEAKER_17] 그 시드니 스위스 맞나?,SPEAKER_14:1.37s(1.000),SPEAKER_14,DJ
393.879,394.535,0.656,silence,,,,,,SILENCE
394.535,397.779,3.244,speech,,,[SPEAKER_16] 우연히 같은 결혼식에 초대를 받은 비와 벤.,SPEAKER_14:3.24s(1.000),SPEAKER_14,DJ
397.779,397.8,0.021,silence,,,,,,SILENCE
397.8,407.413,9.613,speech,,,[SPEAKER_16] 자신들을 엮어주려는 주위 사람들의 성화에 못 이겨 서로에게 빠진 척 가짜 연애를 시작하면서 벌어지는 이야기.,SPEAKER_14:8.04s(1.000),SPEAKER_14,DJ
407.413,407.434,0.021,silence,,,,,,SILENCE
407.434,409.637,2.203,speech,,,[SPEAKER_17] 3127님이 오늘 스타트 상큼하군요.,SPEAKER_14:2.20s(1.000),SPEAKER_14,DJ
409.637,409.797,0.16,silence,,,,,,SILENCE
