block_type,start,end,duration,segments,speaker_count,speakers,text
AD,0.03,28.13,28.1,1,1,SPEAKER_12,고객들의 마음을 사로잡기 위해 SBS 라디오와 함께하세요.
DJ,38.76,135.88,97.12,12,1,SPEAKER_24,박하선의 시내타운 미드 영거에서 이혼으로 싱글맘이 된 라이자. 취업이 급한데 매번 경력 단절을 이유로 미끄러집니다. 그때 친구가 말하죠. 아우 뭐가 문제야. 넌 슈퍼동안이잖아. 이력서에 그냥 20대라고 해버려. 좀 황당한 설정이지만 드라마에서 라이자를 보면 20대라고 속을 법도 해요 어쨌든 40대 라이자는 20대 MG로 신분세탁에 성공을 하고 드디어 들어가게 된 회사에서 꼰대 상사가 툭하면 이런 말을 합니다 야 너네는 옛날에 파이팅이 없어 그게 너네 세대의 문제인 거야 이걸 보면 편견이 얼마나 부질없는 건지 알 수 있죠 드라마 속 색안경을 낀 사람들은 끝까지 진실을 보지 못합니다. 그러니까 오늘의 결론은 남한테 휘둘릴 것 없이 그냥 내 바이브대로 살면 된다는 거예요. 안녕하세요. 박하선의 시내타운 박하선입니다.
MUSIC,163.79,189.51,25.72,1,1,SPEAKER_08,I was born like this don't even gotta try I like shouting they get better over time They just say I'm not the baddest bitch you like
DJ,338.04,419.08,81.04,15,1,SPEAKER_24,11월 23일 토요일입니다. 박하산의 시내타운 첫 곡은요. 미드 영거에서 리조의 주스 듣고 왔어요. 미드 영거 2015년부터 2021년까지 방영된 작품. 섹스앤더시티의 제작자 데런 스타가 직접 연출을 맡았고 서튼 포스터 힐러리 더프가 출연을 해요. 파멜라 레드마운드 세트란의 인기 동명소설이 원작이고 뉴욕의 40대 싱글맘이 무려 20대로 위장해 취업에 성공하게 되면서 겪는 에피소드를 그렸습니다. 미드는 시즌이 얼마나 나왔는지가 하나의 인기 척도죠. 총 7개의 시즌이 나왔어요. 이 정도로 사랑받은 작품. 참 이게 가능한가요? 요즘은 하도 동안들이 많아서 관리들을 잘하셔서 가능할 수도 있을 것 같아요. 저도 막 MG 나이에 걸리긴 하더라고요. 그래서 이게 생각보다 많네 이러면서 생각보다 나도 그런가 이러면서 맞아요. 이 색안경 낀 사람들 뭐 하지 말라 하지 말라 이런 거 되게 많은데 그런 사람일수록 저는 누가 뭐 하지 말라 그러면 그래 그러니까 당신은 거기까지야!
AD,419.1,420.98,1.88,1,1,SPEAKER_23,약간 속으로 이런 생각해요.
DJ,421.0,451.69,30.69,3,1,SPEAKER_24,하지 말라는 게 어딨나 싶어요. 자 오늘은 영화나 드라마의 명 장면을 들어보는 씬과 함께가 준비되어 있는 날입니다. 추억 속 드라마 씬과 ost로 함께 할 거예요 그리고 하고 싶은 이야기 듣고 싶은 노래가 있다 그럼 무료인 고릴라나 샵 1077 짧은 건 50원 긴 건 100원의 유료 문자로 보내주세요 그럼 광고 듣고 다시 만나요 팀장님 연금도 투자하세요?
AD,452.01,755.71,303.7,36,9,"SPEAKER_00,SPEAKER_03,SPEAKER_07,SPEAKER_09,SPEAKER_13,SPEAKER_16,SPEAKER_17,SPEAKER_18,SPEAKER_23","알아서 크는 연금은 없으니까 투자해야죠 아 투자의 차이가 연금의 차이? 안녕하세요. 이재훈입니다. 가장 살기 좋은 집이 되도록 가장 빛나는 삶이 펼쳐지도록 삶을 움직이는 집 동문 디스트. 초중고학세권과 도보 10분 문산역 문산의 중심 문산역 3차 동문 디이스트 센트럴 견본주택 개관 중 03-65-7733 한 회사를 똑같이 다녔는데 동기보다 내가 세금도 많이 내면 속이 타 안 타. 그럼 갈아타. 삼성증권 퇴직연금으로 연말 정산 최대 900만 원까지 공제받으니까 당신의 연금력이 커집니다. 삼성증권 투자 전 상품 설명서 및 약관 필터 원금 손실 발생 가능 및 투자 살피소 보수는 연 0.24에서 0.3%이며 홈페이지 참고. 안녕하세요. 신한 프리미어 모델 김수현입니다. 여러분께 특별한 자산관리를 소개합니다. 투자, 법률, 세무, 부동산 각 분야 전문가들이 당신만을 위한 맞춤 솔루션을 찾아드립니다. 지금 만나보세요. 자산관리는 신한프리미어 새 차 타고 싶은 사람들 주목! 현대의 자동차를 구매하는 새로운 비법! 이름하여 안심 플러스 할부! 중고차 잔가를 70%까지 보장! 차값의 3분의 1만 매달 부담없이 나눠내고 2년 뒤엔 타던 차를 그대로 반납하면 되니 완전 초대박! 자세한 내용은 지점 대리점 문의! 여러분, 위기 상황으로 어려움을 겪고 계신가요? 혼자 고민하지 마시고 긴급복지 지원을 요청하세요. 생계, 의료, 연료비 등을 지원받으실 수 있습니다. 자세한 사항은 국번 없이 129로 문의 바랍니다. 보건복지부가 힘이 되어드리겠습니다. 안녕하세요, 윤종실입니다. 이정하입니다. 탄탄한 내일을 위해 함께 들어볼까요? 퇴직연금, 신한은행, 인생몰리 노트북 고소장비 지게차 로봇까지 롯데 비즈렌탈 11월 새로운 시대가 시작됩니다. 살고 일하고 즐기고 쉬고 누리고 거대한 원안에 당신의 삶을 모두 담은 서울원에서 만나는 라이프컬처시대 서울원 아이파크 HDC 현대산업개발 여러분은 지금 가수 성시경이 사랑하는 배우 정혜인이 사랑하는 배우 엄지원이 사랑하는 배우 구교환이 사랑하고 영화감독 장항준이 함께하는 박하선의 씨네타운과 함께하고 있습니다. 안녕하세요. 감사합니다."
DJ,789.75,847.34,57.59,12,1,SPEAKER_24,1387님이 신청한 곡이었어요. 영화 탑건 매버릭에서 원 리퍼블릭의 I ain't worried 듣고 왔습니다. 박하산의 시내타운 함께하고 있습니다. 테리오스들의 주말 이야기 한번 볼게요. 우리 7532님은 캔디님 저는 주말에 드라이브 갈 때 시내타운 들으면서 가면 아내를 두 번 연속으로 웃길 수 있어요. 시내타운 오프닝 음악에 맞춰서 아 한번 해주고 이어서 바로 시내타운 외치면 아내가 웃기다고 깔깔 웃거든요. 저는 그 맛에 삽니다. 아하 저도 저희 딸이 맨날 박하산의 시내타운 이러면서 저를 웃기는데 아로 또 웃기시는군요. 아 너무 재밌는 남편이시다. 우리 0870님은요. 딸이랑 남편이랑 짜장면 탕수육 먹으면서 시내타운 듣고 있다고. 캔디는 찍먹인가요 부먹인가요?
AD,847.66,847.7,0.04,1,0,,저는
DJ,848.62,942.37,93.75,12,1,SPEAKER_24,부먹으로 한 5개 담겨놓고 옆에서 찍먹을 하다가 이제 또 부먹을 먹고 이런 스타일. 그리고 짬뽕 짜장 어떤 게 더 좋냐고. 가족이 셋이니까 짬뽕 시키고 짜장 하나 시켜서 나눠 먹습니다. 이거는 참 선택불가예요. 취향이 달라서 싸우진 않냐고 둘 다 시켜서 근데 저 진짜 신기한 게 저희 남편이랑 저랑 유일하게 맞는 게 이 먹을 것 취향이에요 그래서 아 나 이거 먹고 싶은데 그냥 이거 먹어야겠다 이러면은 남편이 먹고 싶었던 것도 시켜요 그래서 그런 거 진짜 잘 맞아서 부부는 유희 공동체라고 뭐 하나만 딱 맞으면 잘 산다는데 저희는 이 먹을 것 취향이 맞아서 좀 잘 사는 것 같습니다 0962님은 저 동창회 가요. 35년 만에 중학교 동창생들 보러 가요. 내 첫사랑도 올까요? 결혼 안 하신 거 맞죠? 35년만에 보면 근데 저도 옛날에 어렸을 때 동창회 때 좋아했던 친구 만난 적이 있는데 이거 되게 실망하기 쉽더라고요. 이렇게 너무 환상에 갇혀가지고 목소리도 달라지고 키도 달라지고 성격도 달라지고 이래서 뭐야 엄청 실망했던 기억이 있는데 너무 기대하고 가진 마시길 35년이면 너무 많이 지났잖아요. 영화 세븐파운즈에서 미니 리퍼튼의 러빙유 영화 로켓맨에서 테라네저튼의 유얼송까지 듣고 우리 다시 만나요
